English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
food,طعام,Ta3aam,اكل,akl
foods,مأكولات,ma'kuulaat,مأكولات,ma'kulaat
meal,وجبة,wajba,اكلة,akla
meals,وجبات,wajabaat,اكلات,akalaat
delivery,توصيل,tawSiil,توصيل,tawSiil
restaurant,مطعم,maT3am,مطعم,maT3am
restaurants,مطاعم,maTaa3im,مطاعم,maTaa3im
waiter,نادل,naadil,متر | جرسون,metre | garsoon
waiters,ندل,nudul,ندل,nudul
breakfast,فطور,faTuur,فطار,fiTaar
lunch,غداء,ġadaa',غدا,ġada
dinner,عشاء,3ašaa',عشا,3aša
recipe,وصفة,waSfa,وصفة,waSfa
recipes,وصفات,waSafaat,وصفات,waSafaat
ingredient,مقدار,miqdaar,محتويات,muHtawiyaat
ingredients,مقادير,maqaadiir,مقادير,maqaadiir
can,علبة,3ulba,علبة,3elba
cans,علب,3ulab,علب,3ilab
jar,وعاء,wi3aa',برطمان,barTamaan
jars,اوعية,aw3iya,برطمانات,barTamaanaat
box,صندوق,Sunduuq,صندوق,Sunduu'
boxes,صناديق,Sanaadiiq,صناديق,Sanadii'
hungry ,جائع,jaa'i3,جعان ,ga3aan 
hungry s,جياع ,jiyaa3 ,جياع ,jiyaa3 
thirsty ,عطشان,3aTšaan,عطشان,3aTšaan
thirsty s,عطاش ,3iTaaš ,عطاش ,3iTaaš 
full ,شبعان,šab3aan,شبعان,šab3aan
full s,شباعى,šabaa3a,شباعى,šabaa3a
slice,شريحة,šariiHa,خرطة,xarTa
slices,شرائح,šaraa'iH,خرط,xuraT
piece,قطعة,qitT3a,حتّة,Hetta
pieces,قطع,qiTa3,حتت,Hetat
drink,مشروب,mašruub,مشروب,mašruub
drinks,مشروبات,mašruubaat,مشروبات,mašruubaat
juice,عصير,3aSiir,عصير,3aSiir
juices,عصائر,3aSaa'ir,عصائر,3aSaayir
water,ماء,maa',ميّة,mayya
tea,شاي,šaay,شاي,šaay
coffee,قهوة,qahwa,قهوة,'ahwa
milk,حليب,Haliib,لبن,laban
alcohol,خمر,xamr,خمر,xamr
wine,نبيذ,nabiid,نبيت,nibiit
champagne,شامبنية,šampanya,شامبنية,šampanya
beer,بيرة,biira,بيرة,biira
fruit,فاكهة,faakiha,فاكهة,fakha
fruits,فواكه,fawaakih,فواكه,fawaakih
apple,تفّاح,tuffaaH,تفّاح,tuffaaH
orange,برتقال,burtuqaal,برتقان,burtu'aan
banana,موز,mooz,موز,mooz
lemon,ليمون,laymuun,لمون,lamuun
lime,ليمون حامض,laymuun HaamiD,لمون,lamuun
watermelon,بطّيخ,baTTiix,بطّيخ,baTTiix
cantaloupe,بطّيخ أصفر,baTTiix aSfar,شمّام,šammaam
strawberry,فراولة,farawla,فراولة,farawla
cherry,كرز,karaz,كريز,kireiz
grape,عنب,3inab,عنب,3inab
raisin,زبيب,zabiib,زبيب,zibiib
pear,كمثرى,kummatra,كمترى,kommetra
peach,خوخ,xoox,خوخ,xoox
plum,برقوق,barquuq,برقوق,bar'uu'
prune,برقوق ناشف,barquuq naašif,برقوق ناشف,bar'uu' naashif
pomegranate,رمّان,rummaan,رمّان,rummaan
apricot,مشمش,mišmiš,مشمش,mišmiš
guava,جوافة,guwaafa,جوافة,guwaafa
dates ,بلح,balaH,بلح,balaH
dates ,تمر,tamr,تمر,tamr
pineapple,اناناس,ananaas,اناناس,ananaas
berry,توت,tuut,توت,tuut
blueberry,توت أزرق,tuut azraq,توت أزرق,tuut azra'
mango,مانجو,mango,مانجة,manga
fig,تين,tiin,تين,tiin
olive,زيتون,zeituun,زتون,zatuun
popcorn,بوشار,bušaar,فشار,fišaar
nuts,مكسّرات,mikassaraat,مكسّرات,mikassaraat
almonds,لوز,looz,لوز,looz
hazelnuts,بندق,bunduq,بندق,bondo'
peanuts,سوداني,suudaani,سوداني,sudaani
vegetables,خضراوات,xaDrawaat,خضروات | خضار,xuDrawaat | xuDaar
carrot,جزر,jazar,جزر,gazar
cauliflower,قرنبيط,qarnabiiT,قرنبيط,'arnabiiT
lettuce,خسّ,xass,خسّ,xass
cucumber,خيار,xiyaar,خيار,xiyaar
zucchini,كوسا,kuusa,كوسا,koosa
cabbage,كرمب,krumb,كرمب,kurumb
peas,بازلاء,baazilaa',بسلة,bisilla
radish,فجل,fujl,فجل,figl
radishes,فجول,fujuul,فجول,fujuul
celery,كرفس,karafs,كرفس,karafs
okra,بامية,baamiya,بامية,bamya
eggplant,باذنجان,badinjaan,بدنجان,bidingaan
artichoke,خرشوف,xuršuuf,خرشوف,xaršuuf
artichokes,خراشيف,xaraašiif,خراشيف,xaraašiif
